t,x0,x1
7.04,-3.13373,-4.43364
7.05,-3.17807,-3.38906
7.06,-3.21196,-2.32971
7.07,-3.23525,-1.25906
7.08,-3.24784,-0.180639
7.09,-3.24965,0.901976
7.1,-3.24063,1.98519
7.11,-3.22078,3.0654
7.12,-3.19012,4.139
7.13,-3.14873,5.20237
7.14,-3.09671,6.25195
7.15,-3.03419,7.28419
7.16,-2.96135,8.29558
7.17,-2.87839,9.2827
7.18,-2.78557,10.2422
7.19,-2.68314,11.1707
7.2,-2.57144,12.0651
7.21,-2.45079,12.9222
7.22,-2.32157,13.7391
7.23,-2.18417,14.513
7.24,-2.03904,15.2411
7.25,-1.88663,15.9207
7.26,-1.72743,16.5496
7.27,-1.56193,17.1254
7.28,-1.39068,17.6461
7.29,-1.21421,18.1096
7.3,-1.03312,18.5144
7.31,-0.847975,18.8587
7.32,-0.659388,19.1414
7.33,-0.467974,19.3612
7.34,-0.274362,19.5172
7.35,-0.07919,19.6086
7.36,0.116896,19.635
7.37,0.313247,19.5961
7.38,0.509207,19.4917
7.39,0.704124,19.3219
7.4,0.897343,19.0872
7.41,1.08822,18.7881
7.42,1.2761,18.4254
7.43,1.46035,18
7.44,1.64035,17.5132
7.45,1.81548,16.9664
7.46,1.98515,16.3613
7.47,2.14876,15.6995
7.48,2.30575,14.9833
7.49,2.45559,14.2147
7.5,2.59773,13.3962
7.51,2.7317,12.5303
7.52,2.857,11.6197
7.53,2.9732,10.6674
7.54,3.07987,9.67631
7.55,3.17663,8.64968
7.56,3.26313,7.59081
7.57,3.33904,6.5031
7.58,3.40407,5.39008
7.59,3.45797,4.25539
7.6,3.50052,3.10274
7.61,3.53155,1.9359
7.62,3.55091,0.758714
7.63,3.5585,-0.424922
7.64,3.55425,-1.61109
7.65,3.53814,-2.79584
7.66,3.51018,-3.97522
7.67,3.47043,-5.14527
7.68,3.41897,-6.30208
7.69,3.35595,-7.44174
7.7,3.28153,-8.56039
7.71,3.19593,-9.65424
7.72,3.09939,-10.7195
7.73,2.99219,-11.7527
7.74,2.87467,-12.7501
7.75,2.74717,-13.7083
7.76,2.61008,-14.624
7.77,2.46384,-15.494
7.78,2.3089,-16.3153
7.79,2.14575,-17.085
7.8,1.9749,-17.8002
7.81,1.7969,-18.4585
7.82,1.61231,-19.0575
7.83,1.42174,-19.5949
7.84,1.22579,-20.0688
7.85,1.0251,-20.4774
7.86,0.820326,-20.8191
7.87,0.612134,-21.0926
7.88,0.401209,-21.2966
7.89,0.188243,-21.4303
7.9,-0.0260608,-21.4931
7.91,-0.240992,-21.4844
7.92,-0.455836,-21.4041
7.93,-0.669877,-21.2521
7.94,-0.882398,-21.0288
7.95,-1.09269,-20.7347
7.96,-1.30003,-20.3705
7.97,-1.50374,-19.9371
7.98,-1.70311,-19.4359
7.99,-1.89747,-18.8682
8,-2.08615,-18.2357
8.01,-2.26851,-17.5403
8.02,-2.44391,-16.7841
8.03,-2.61175,-15.9695
8.04,-2.77145,-15.0989
8.05,-2.92244,-14.1751
8.06,-3.06419,-13.201
8.07,-3.1962,-12.1796
8.08,-3.31799,-11.1142
8.09,-3.42913,-10.0082
8.1,-3.52922,-8.86512
8.11,-3.61787,-7.68872
8.12,-3.69475,-6.48276
8.13,-3.75958,-5.25118
8.14,-3.81209,-3.99798
8.15,-3.85207,-2.72729
8.16,-3.87935,-1.44326
8.17,-3.89378,-0.150147
8.18,-3.89528,1.14778
8.19,-3.8838,2.44621
8.2,-3.85934,3.74081
8.21,-3.82193,5.02725
8.22,-3.77166,6.30123
8.23,-3.70865,7.55845
8.24,-3.63306,8.79467
8.25,-3.54512,10.0057
8.26,-3.44506,11.1874
8.27,-3.33318,12.3357
8.28,-3.20983,13.4468
8.29,-3.07536,14.5167
8.3,-2.93019,15.5419
8.31,-2.77477,16.5186
8.32,-2.60959,17.4435
8.33,-2.43515,18.3134
8.34,-2.25202,19.1251
8.35,-2.06077,19.8758
8.36,-1.86201,20.5627
8.37,-1.65638,21.1834
8.38,-1.44455,21.7355
8.39,-1.22719,22.217
8.4,-1.00502,22.6261
8.41,-0.778763,22.9611
8.42,-0.549152,23.2207
8.43,-0.316945,23.4037
8.44,-0.0829081,23.5094
8.45,0.152186,23.537
8.46,0.387556,23.4863
8.47,0.622418,23.3571
8.48,0.855989,23.1496
8.49,1.08749,22.8643
8.5,1.31613,22.5018
8.51,1.54115,22.0631
8.52,1.76178,21.5494
8.53,1.97727,20.9621
8.54,2.18689,20.303
8.55,2.38992,19.5741
8.56,2.58566,18.7774
8.57,2.77344,17.9155
8.58,2.95259,16.991
8.59,3.1225,16.0069
8.6,3.28257,14.966
8.61,3.43223,13.8718
8.62,3.57095,12.7278
8.63,3.69823,11.5374
8.64,3.8136,10.3047
8.65,3.91665,9.03349
8.66,4.00698,7.72794
8.67,4.08426,6.39228
8.68,4.14819,5.03086
8.69,4.19849,3.64813
8.7,4.23498,2.24863
8.71,4.25746,0.836974
8.72,4.26583,-0.58218
8.73,4.26001,-2.00412
8.74,4.23997,-3.42413
8.75,4.20573,-4.83745
8.76,4.15735,-6.23936
8.77,4.09496,-7.62514
8.78,4.01871,-8.99013
8.79,3.92881,-10.3297
8.8,3.82551,-11.6393
8.81,3.70912,-12.9145
8.82,3.57997,-14.1508
8.83,3.43846,-15.3442
8.84,3.28502,-16.4903
8.85,3.12012,-17.5853
8.86,2.94427,-18.6254
8.87,2.75801,-19.6068
8.88,2.56194,-20.5261
8.89,2.35668,-21.3801
8.9,2.14288,-22.1657
8.91,1.92122,-22.88
8.92,1.69242,-23.5204
8.93,1.45722,-24.0845
8.94,1.21638,-24.5703
8.95,0.970674,-24.9757
8.96,0.720916,-25.2993
8.97,0.467924,-25.5396
8.98,0.212528,-25.6956
8.99,-0.0444276,-25.7664
9,-0.302092,-25.7516
9.01,-0.559607,-25.6509
9.02,-0.816116,-25.4644
9.03,-1.07076,-25.1923
9.04,-1.32268,-24.8354
9.05,-1.57104,-24.3945
9.06,-1.81498,-23.8708
9.07,-2.05369,-23.2658
9.08,-2.28635,-22.5813
9.09,-2.51216,-21.8191
9.1,-2.73035,-20.9818
9.11,-2.94017,-20.0716
9.12,-3.14089,-19.0916
9.13,-3.3318,-18.0446
9.14,-3.51225,-16.934
9.15,-3.68159,-15.7633
9.16,-3.83922,-14.5361
9.17,-3.98458,-13.2563
9.18,-4.11715,-11.9281
9.19,-4.23643,-10.5558
9.2,-4.34198,-9.14362
9.21,-4.43342,-7.69629
9.22,-4.51038,-6.21848
9.23,-4.57257,-4.71502
9.24,-4.61972,-3.19083
9.25,-4.65163,-1.65093
9.26,-4.66814,-0.100384
9.27,-4.66914,1.45566
9.28,-4.65458,3.01204
9.29,-4.62446,4.56357
9.3,-4.57883,6.10506
9.31,-4.51778,7.63133
9.32,-4.44146,9.13726
