t,x0,x1
0.0288,0.00020744,0.0160823
0.0289,0.000209048,0.0161473
0.029,0.000210663,0.0162123
0.0291,0.000212284,0.0162772
0.0292,0.000213912,0.0163421
0.0293,0.000215546,0.0164069
0.0294,0.000217187,0.0164716
0.0295,0.000218834,0.0165363
0.0296,0.000220487,0.0166009
0.0297,0.000222148,0.0166655
0.0298,0.000223814,0.01673
0.0299,0.000225487,0.0167944
0.03,0.000227167,0.0168587
0.0301,0.000228852,0.016923
0.0302,0.000230545,0.0169872
0.0303,0.000232243,0.0170513
0.0304,0.000233949,0.0171154
0.0305,0.00023566,0.0171794
0.0306,0.000237378,0.0172433
0.0307,0.000239102,0.0173071
0.0308,0.000240833,0.0173709
0.0309,0.00024257,0.0174346
0.031,0.000244314,0.0174982
0.0311,0.000246063,0.0175617
0.0312,0.00024782,0.0176251
0.0313,0.000249582,0.0176884
0.0314,0.000251351,0.0177517
0.0315,0.000253126,0.0178149
0.0316,0.000254908,0.0178779
0.0317,0.000256695,0.0179409
0.0318,0.00025849,0.0180038
0.0319,0.00026029,0.0180666
0.032,0.000262097,0.0181294
0.0321,0.000263909,0.018192
0.0322,0.000265729,0.0182545
0.0323,0.000267554,0.0183169
0.0324,0.000269386,0.0183793
0.0325,0.000271224,0.0184415
0.0326,0.000273068,0.0185036
0.0327,0.000274918,0.0185657
0.0328,0.000276775,0.0186276
0.0329,0.000278638,0.0186894
0.033,0.000280507,0.0187511
0.0331,0.000282382,0.0188127
0.0332,0.000284263,0.0188742
0.0333,0.00028615,0.0189356
0.0334,0.000288044,0.0189969
0.0335,0.000289944,0.0190581
0.0336,0.000291849,0.0191191
0.0337,0.000293761,0.0191801
0.0338,0.000295679,0.0192409
0.0339,0.000297603,0.0193016
0.034,0.000299534,0.0193622
0.0341,0.00030147,0.0194227
0.0342,0.000303412,0.019483
0.0343,0.00030536,0.0195433
0.0344,0.000307315,0.0196034
0.0345,0.000309275,0.0196634
0.0346,0.000311241,0.0197233
0.0347,0.000313214,0.019783
0.0348,0.000315192,0.0198426
0.0349,0.000317176,0.0199021
0.035,0.000319166,0.0199615
0.0351,0.000321163,0.0200207
0.0352,0.000323165,0.0200798
0.0353,0.000325173,0.0201388
0.0354,0.000327187,0.0201977
0.0355,0.000329206,0.0202564
0.0356,0.000331232,0.0203149
0.0357,0.000333263,0.0203734
0.0358,0.000335301,0.0204317
0.0359,0.000337344,0.0204899
0.036,0.000339393,0.0205479
0.0361,0.000341448,0.0206058
0.0362,0.000343508,0.0206635
0.0363,0.000345575,0.0207211
0.0364,0.000347647,0.0207786
0.0365,0.000349725,0.0208359
0.0366,0.000351808,0.0208931
0.0367,0.000353898,0.0209501
0.0368,0.000355993,0.021007
0.0369,0.000358093,0.0210637
0.037,0.0003602,0.0211203
0.0371,0.000362312,0.0211767
0.0372,0.000364429,0.021233
0.0373,0.000366553,0.0212891
0.0374,0.000368682,0.0213451
0.0375,0.000370816,0.0214009
0.0376,0.000372956,0.0214566
0.0377,0.000375102,0.0215121
0.0378,0.000377253,0.0215674
0.0379,0.00037941,0.0216226
0.038,0.000381572,0.0216777
0.0381,0.00038374,0.0217326
0.0382,0.000385913,0.0217873
0.0383,0.000388092,0.0218418
0.0384,0.000390276,0.0218962
0.0385,0.000392466,0.0219505
0.0386,0.000394661,0.0220045
0.0387,0.000396861,0.0220584
0.0388,0.000399067,0.0221122
0.0389,0.000401278,0.0221658
0.039,0.000403495,0.0222192
0.0391,0.000405717,0.0222724
0.0392,0.000407944,0.0223255
0.0393,0.000410176,0.0223784
0.0394,0.000412414,0.0224311
0.0395,0.000414657,0.0224836
0.0396,0.000416906,0.022536
0.0397,0.000419159,0.0225882
0.0398,0.000421418,0.0226403
0.0399,0.000423682,0.0226921
0.04,0.000425951,0.0227438
0.0401,0.000428226,0.0227953
0.0402,0.000430505,0.0228466
0.0403,0.00043279,0.0228978
0.0404,0.00043508,0.0229488
0.0405,0.000437375,0.0229996
0.0406,0.000439675,0.0230502
0.0407,0.00044198,0.0231006
0.0408,0.00044429,0.0231508
0.0409,0.000446605,0.0232009
